Country,HARM.Cohen.d,FAIRNESS.Cohen.d,INGROUP.Cohen.d,AUTHORITY.Cohen.d,PURITY.Cohen.d,PopSexRatio,Individualism,GenderEqality,HumanDevelopmentIndex,GiniCoefficient,OverallLifeSatisfactionIndex,CTL_DS,CTL_DG,CTL_C
Australia,0.428491735,0.229754048,-0.166413632,0.00437513,0.005692446,1.01,90,0.12,0.939,34.9,7.3,NA,NA,NA
Belgium,0.450297457,0.197110647,-0.198812292,-0.202908018,0.078681786,0.97,75,0.073,0.896,27.6,6.9,70.1,126.7,119.8
China,0.260489793,0.174548013,0.004004101,-0.00813074,-0.03971435,1.06,20,0.164,0.738,42.2,5.3,35.3,NA,NA
France,0.277311498,0.071702429,0.011007542,0.394094672,0.404533832,0.96,71,0.102,0.897,33.1,6.4,66.8,101.3,99.6
Hungary,0.531953411,0.359322074,-0.125991574,-0.210148622,0.052375538,0.91,80,0.252,0.836,30.6,5.3,37.3,61.1,42.8
Iran,0.254757569,0.170536395,0.030930911,0.226182184,0.104489843,1.03,41,0.509,0.774,37.4,4.7,17.8,26.9,31.5
Japan,0.085171995,-0.022845713,-0.231443829,-0.116409374,-0.0165605,0.94,46,0.116,0.903,32.1,5.9,56.8,39.2,43.3
Korea,0.214735696,0.130201556,-0.148775668,-0.272349078,-0.03119697,1,18,0.067,0.901,NA,5.8,48,28.8,20.1
Latvia,0.457871469,0.526488313,0.045331672,0.219703159,0.349491727,0.85,70,0.191,0.83,35.5,5.9,47.4,54,42.7
Mongolia,0.137418709,0.118590532,0.100324791,-0.043816466,0.158998944,0.96,NA,0.278,0.735,32,5,NA,NA,NA
Netherlands,0.452086239,0.145524205,-0.21904358,-0.106133781,0.305687019,0.98,80,0.044,0.924,28,7.3,62.5,61.7,78.9
Poland,0.651035875,0.299570386,-0.001791441,0.030798402,0.277700282,0.94,60,0.137,0.855,32.1,6,66.6,56.3,42.8
Russia,0.697519331,0.426028319,-0.061744854,-0.153498321,0.243244778,0.86,39,0.271,0.804,41.6,6,45.8,70.4,57.2
Serbia,0.110607078,0.209859515,0.185090675,0.136283422,0.08082414,0.95,25,0.171,0.792,30.5,6,43.4,73.8,61.8
Spain,0.002746567,0.20885775,0.152983154,0.160062448,0.266293255,0.98,51,0.081,0.884,35.9,6.4,80.9,96.4,83.9
Sweden,0.525413502,0.202839275,-0.003730823,-0.075371391,-0.017024119,1,71,0.048,0.913,27.3,7.3,63.5,47.3,87.9
Turkey,0.320248347,0.256814732,-0.103071095,-0.139050931,-0.088351652,1.01,37,0.328,0.767,40.2,5.5,11.7,31.7,31.6
UK,0.47086438,0.113613545,0.048397583,-0.0180631,0.325021321,0.99,89,0.131,0.909,32.6,6.5,64.3,87.4,89.3
US,0.396984973,0.128082168,-0.087022183,-0.047032552,0.166985391,0.97,91,0.203,0.92,41.1,7.2,67.9,71.5,58
